,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,deFG%,dTOV%,DRB%,dFT/FGA,,Arena
1,Los Angeles Sparks*,26.9,25,7,25,7,6.78,-0.34,6.44,103.1,94.0,+9.1,73.5,.322,.257,.536,,.494,18.4,33.8,.238,,.430,16.3,72.2,.235,,STAPLES Center
2,Houston Comets*,28.7,24,8,25,7,5.63,-0.25,5.38,97.1,88.7,+8.4,66.4,.329,.187,.509,,.455,18.3,31.0,.255,,.415,18.2,69.4,.176,,Compaq Center
3,Charlotte Sting*,28.0,18,14,21,11,3.38,-0.62,2.76,105.9,100.8,+5.1,65.7,.370,.294,.538,,.489,16.4,32.8,.274,,.467,17.0,68.9,.246,,Charlotte Coliseum
4,Seattle Storm*,24.5,17,15,20,12,2.66,0.01,2.67,98.8,95.0,+3.8,68.7,.279,.260,.500,,.454,17.9,35.4,.215,,.459,20.4,67.3,.239,,KeyArena at Seattle Center
5,New York Liberty*,29.7,18,14,20,12,2.31,-0.20,2.11,99.0,95.5,+3.5,65.4,.326,.230,.525,,.485,18.7,28.6,.230,,.442,19.2,66.2,.279,,Madison Square Garden (IV)
6,Utah Starzz*,29.0,20,12,19,13,2.31,-0.11,2.20,102.4,99.3,+3.1,73.2,.442,.129,.530,,.464,18.6,35.0,.336,,.442,15.8,66.6,.250,,Delta Center
7,Washington Mystics*,26.3,17,15,17,15,0.59,-0.41,0.18,97.8,96.9,+0.9,67.7,.250,.232,.503,,.465,17.7,32.7,.188,,.452,17.1,69.6,.209,,MCI Center
8,Orlando Miracle,26.3,16,16,16,16,-0.03,-0.29,-0.32,100.3,100.4,-0.1,68.8,.338,.241,.513,,.460,17.2,31.9,.258,,.474,20.1,62.2,.264,,TD Waterhouse Centre
9,Indiana Fever*,26.1,16,16,14,18,-1.00,-0.01,-1.01,98.5,100.0,-1.5,66.3,.318,.298,.504,,.450,17.4,32.8,.249,,.487,18.7,68.7,.198,,Conseco Fieldhouse
10,Portland Fire,25.6,16,16,14,18,-1.00,0.39,-0.61,96.3,97.8,-1.5,70.3,.289,.200,.499,,.457,18.3,31.2,.210,,.468,19.0,65.7,.246,,Rose Garden Arena
11,Miami Sol,27.6,15,17,14,18,-1.31,0.13,-1.19,95.2,97.2,-2.0,66.3,.285,.210,.490,,.452,17.2,29.9,.199,,.470,20.5,67.3,.272,,AmericanAirlines Arena
12,Cleveland Rockers,25.4,10,22,12,20,-2.16,0.07,-2.09,96.8,100.0,-3.2,65.3,.304,.205,.502,,.451,17.9,31.6,.236,,.475,17.2,70.8,.216,,Gund Arena
13,Minnesota Lynx,23.8,10,22,11,21,-3.16,0.43,-2.73,92.8,97.5,-4.7,66.7,.326,.282,.494,,.456,20.7,33.6,.216,,.452,18.3,68.3,.260,,Target Center
14,Sacramento Monarchs,28.7,14,18,10,22,-4.00,0.49,-3.51,94.5,100.1,-5.6,69.7,.336,.203,.485,,.430,17.0,29.4,.254,,.458,18.1,64.8,.265,,ARCO Arena (II)
15,Detroit Shock,24.0,9,23,9,23,-4.75,-0.01,-4.76,92.3,98.9,-6.6,71.0,.339,.190,.479,,.428,19.7,35.0,.246,,.454,16.4,69.6,.234,,The Palace of Auburn Hills
16,Phoenix Mercury,27.3,11,21,7,25,-6.25,0.73,-5.52,92.9,101.8,-8.9,70.3,.285,.174,.492,,.446,19.1,29.7,.214,,.496,18.7,67.0,.233,,America West Arena
,League Average,26.7,,,16,16,0.00,0.00,0.00,97.7,97.7,,68.5,.321,.224,.506,,.458,18.2,32.2,.239,,.458,18.2,67.8,.239,,s
