,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Charlotte Sting*,28,5600,.435,9.4,,.806,.328,.213,.211,.053,.194,,.458,.579,.389,.321,.529,.343,,.640,.864,,.025,.375
2,Cleveland Rockers,28,5675,.444,9.0,,.892,.244,.330,.266,.052,.108,,.453,.598,.403,.394,.400,.369,,.605,.877,,.057,.100
3,Houston Comets*,28,5650,.422,10.6,,.708,.313,.164,.160,.047,.292,,.452,.536,.385,.377,.410,.348,,.446,.799,,.014,.143
4,Los Angeles Sparks,28,5725,.446,8.5,,.864,.346,.259,.199,.056,.136,,.473,.547,.446,.400,.420,.269,,.579,.862,,.021,.600
5,New York Liberty*,28,5675,.413,8.8,,.803,.357,.201,.176,.043,.197,,.447,.550,.359,.353,.384,.274,,.628,.892,,.003,1.000
6,Phoenix Mercury*,28,5675,.374,9.8,,.754,.345,.190,.183,.036,.246,,.395,.485,.283,.350,.349,.308,,.610,.858,,.011,.400
7,Sacramento Monarchs,28,5650,.406,9.9,,.801,.291,.237,.225,.051,.199,,.435,.556,.377,.338,.477,.293,,.526,.762,,.014,.600
8,Utah Starzz,28,5650,.374,9.3,,.804,.340,.200,.192,.072,.196,,.391,.508,.300,.301,.336,.304,,.600,.840,,.006,.500
,League Average,28,5662,.414,9.4,,.804,.321,.224,.201,.051,.196,,.438,.542,.373,.355,.412,.313,,.581,.839,,.016,.349
