,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,deFG%,dTOV%,DRB%,dFT/FGA,,Arena
1,Detroit Shock*,27.7,24,10,24,10,4.62,-0.24,4.38,99.9,94.1,+5.8,78.8,.347,.195,.517,,.465,17.8,32.8,.263,,.441,17.0,75.1,.242,,The Palace of Auburn Hills
2,Indiana Fever*,28.6,21,13,22,12,3.24,-0.10,3.14,95.3,91.1,+4.2,75.7,.285,.252,.509,,.462,19.5,30.0,.221,,.438,19.9,68.8,.205,,Conseco Fieldhouse
3,Phoenix Mercury*,26.6,23,11,22,12,3.56,-0.54,3.02,105.4,101.2,+4.2,83.8,.312,.332,.550,,.498,15.0,22.8,.255,,.462,17.3,66.2,.226,,US Airways Center
4,Seattle Storm*,26.3,17,17,21,13,2.56,-0.62,1.94,104.1,100.8,+3.3,76.9,.324,.289,.541,,.487,17.4,31.1,.263,,.467,16.1,71.1,.206,,KeyArena at Seattle Center
5,Connecticut Sun*,27.5,18,16,21,13,2.50,-0.01,2.40,99.6,96.4,+3.2,77.7,.268,.242,.514,,.470,17.0,29.7,.209,,.456,16.7,72.0,.205,,Mohegan Sun Arena
6,Sacramento Monarchs*,27.3,19,15,19,15,1.38,-0.36,1.03,97.3,95.5,+1.8,74.7,.336,.194,.497,,.442,19.4,38.6,.258,,.473,21.5,70.1,.246,,ARCO Arena (II)
7,San Antonio Silver Stars*,27.1,20,14,19,15,0.97,-0.13,0.84,97.9,96.6,+1.3,74.8,.265,.260,.518,,.472,18.7,29.4,.213,,.457,19.3,67.9,.247,,AT&T Center
8,Washington Mystics,27.3,16,18,15,19,-1.59,0.41,-1.18,96.8,98.9,-2.1,77.3,.387,.243,.509,,.442,18.4,28.9,.308,,.456,18.4,67.2,.278,,Verizon Center
9,Chicago Sky,25.6,14,20,13,21,-2.53,0.51,-2.02,96.3,99.6,-3.3,75.2,.318,.239,.486,,.447,16.4,31.2,.215,,.470,18.3,67.4,.223,,UIC Pavilion
10,New York Liberty*,24.6,16,18,13,21,-2.68,0.52,-2.07,93.1,96.7,-3.6,75.5,.277,.314,.515,,.475,20.7,25.5,.206,,.454,18.2,67.4,.216,,Madison Square Garden (IV)
11,Minnesota Lynx,23.7,10,24,12,22,-3.41,0.18,-3.23,98.4,102.7,-4.3,78.0,.286,.211,.497,,.447,17.5,33.2,.225,,.487,17.2,71.2,.280,,Target Center
12,Houston Comets,27.6,13,21,12,22,-3.47,0.18,-3.29,95.6,100.1,-4.5,77.2,.336,.170,.509,,.455,20.4,34.2,.258,,.468,18.5,69.2,.264,,Toyota Center
13,Los Angeles Sparks,27.0,10,24,10,24,-5.15,0.20,-4.95,94.5,101.0,-6.5,77.7,.272,.198,.491,,.443,18.1,29.9,.214,,.474,17.7,69.5,.275,,STAPLES Center
,League Average,26.7,,,17,17,0.00,0.00,0.00,98.1,98.1,,77.2,.309,.241,.512,,.462,18.1,30.5,.239,,.462,18.1,69.5,.239,,
