,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream*,34,6925,.434,11.1,,.790,.297,.182,.175,.135,.210,,.470,.661,.366,.320,.387,.296,,.555,.944,,.066,.313
2,Chicago Sky,34,6950,.431,11.9,,.723,.299,.146,.142,.136,.277,,.466,.626,.343,.381,.334,.340,,.500,.856,,.070,.395
3,Connecticut Sun*,34,6900,.431,11.8,,.762,.252,.198,.177,.136,.238,,.454,.605,.378,.371,.395,.356,,.505,.849,,.095,.415
4,Indiana Fever*,34,6850,.418,12.0,,.697,.290,.163,.119,.126,.303,,.426,.581,.301,.288,.357,.400,,.480,.911,,.153,.408
5,Los Angeles Sparks*,34,6825,.458,11.3,,.766,.288,.198,.155,.125,.234,,.488,.670,.360,.376,.410,.359,,.525,.773,,.126,.368
6,Minnesota Lynx*,34,6875,.473,11.5,,.757,.271,.189,.178,.119,.243,,.496,.663,.382,.415,.419,.400,,.585,.863,,.055,.355
7,New York Liberty*,34,6800,.425,11.8,,.748,.271,.184,.164,.128,.252,,.448,.617,.352,.365,.333,.355,,.463,.873,,.087,.300
8,Phoenix Mercury,34,6850,.384,12.1,,.727,.229,.231,.147,.119,.273,,.418,.645,.329,.289,.312,.295,,.433,.777,,.040,.423
9,San Antonio Silver Stars*,34,6850,.445,12.3,,.707,.254,.177,.173,.103,.293,,.474,.644,.383,.369,.386,.375,,.554,.850,,.067,.378
10,Seattle Storm*,34,6825,.434,13.0,,.662,.208,.208,.137,.109,.338,,.476,.644,.415,.376,.399,.351,,.570,.912,,.081,.309
11,Tulsa Shock,34,6875,.405,12.0,,.690,.224,.243,.116,.107,.310,,.416,.625,.318,.302,.325,.380,,.455,.812,,.085,.344
12,Washington Mystics,34,6825,.412,11.6,,.777,.270,.185,.165,.157,.223,,.444,.645,.327,.388,.297,.301,,.539,.917,,.161,.351
,League Average,34,6862,.429,11.9,,.734,.263,.192,.154,.125,.266,,.457,.636,.354,.356,.361,.353,,.516,.859,,.089,.365
