,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Charlotte Sting*,32,6450,.430,10.5,,.706,.356,.126,.174,.049,.294,,.443,.539,.314,.333,.460,.400,,.555,.882,,.055,.414
2,Cleveland Rockers,32,6550,.418,10.4,,.795,.252,.243,.225,.074,.205,,.442,.596,.379,.376,.326,.324,,.590,.851,,.035,.308
3,Detroit Shock,32,6450,.399,9.7,,.810,.335,.166,.268,.042,.190,,.422,.527,.387,.317,.388,.302,,.588,.836,,.085,.452
4,Houston Comets*,32,6425,.425,10.6,,.813,.264,.179,.301,.070,.187,,.447,.597,.387,.372,.355,.328,,.553,.853,,.021,.429
5,Indiana Fever*,32,6425,.401,11.5,,.703,.218,.246,.160,.079,.297,,.430,.610,.381,.306,.338,.332,,.537,.839,,.070,.263
6,Los Angeles Sparks*,32,6475,.445,10.4,,.743,.310,.176,.197,.059,.257,,.469,.605,.371,.372,.364,.377,,.601,.845,,.023,.250
7,Miami Sol,32,6475,.417,11.9,,.790,.219,.159,.255,.158,.210,,.440,.586,.444,.351,.375,.332,,.580,.791,,.072,.321
8,Minnesota Lynx,32,6475,.410,9.8,,.718,.380,.145,.135,.028,.282,,.440,.540,.311,.321,.420,.332,,.561,.825,,.062,.258
9,New York Liberty*,32,6450,.444,9.9,,.770,.346,.162,.190,.072,.230,,.468,.600,.379,.345,.357,.363,,.596,.841,,.083,.394
10,Orlando Miracle,32,6525,.422,10.0,,.759,.322,.191,.183,.063,.241,,.456,.583,.322,.386,.417,.315,,.502,.779,,.043,.250
11,Phoenix Mercury,32,6400,.420,9.7,,.826,.304,.202,.273,.047,.174,,.444,.553,.388,.370,.404,.305,,.499,.810,,.012,.250
12,Portland Fire,32,6475,.425,9.6,,.799,.325,.213,.191,.070,.201,,.450,.577,.361,.336,.445,.325,,.548,.843,,.013,.000
13,Sacramento Monarchs,32,6575,.401,9.9,,.797,.307,.208,.203,.079,.203,,.431,.499,.395,.363,.435,.284,,.599,.893,,.035,.214
14,Seattle Storm*,32,6450,.408,10.8,,.740,.240,.263,.193,.044,.260,,.424,.590,.357,.311,.424,.360,,.590,.841,,.055,.286
15,Utah Starzz*,32,6450,.441,8.6,,.871,.348,.202,.227,.071,.129,,.453,.576,.370,.346,.422,.360,,.516,.820,,.028,.429
16,Washington Mystics*,32,6450,.422,11.8,,.768,.209,.199,.270,.090,.232,,.438,.605,.346,.408,.339,.370,,.570,.915,,.034,.267
,League Average,32,6468,.420,10.3,,.776,.296,.193,.215,.068,.224,,.444,.571,.369,.354,.387,.340,,.561,.844,,.047,.317
