,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream,34,6900,.409,11.8,,.782,.320,.165,.112,.187,.218,,.442,.565,.375,.363,.336,.291,,.552,.902,,.135,.380
2,Chicago Sky,34,6925,.461,12.7,,.757,.291,.144,.111,.210,.243,,.489,.625,.394,.408,.410,.375,,.600,.871,,.150,.356
3,Connecticut Sun*,34,6800,.448,12.0,,.751,.317,.163,.129,.143,.249,,.476,.642,.338,.339,.386,.365,,.469,.874,,.137,.440
4,Dallas Wings*,34,6900,.406,12.0,,.705,.288,.218,.099,.099,.295,,.442,.601,.347,.313,.317,.319,,.443,.877,,.100,.352
5,Indiana Fever,34,6850,.429,13.2,,.777,.259,.113,.139,.265,.223,,.463,.586,.378,.417,.405,.309,,.485,.779,,.198,.313
6,Los Angeles Sparks*,34,6850,.479,11.9,,.764,.324,.174,.082,.183,.236,,.522,.652,.446,.443,.400,.341,,.521,.923,,.145,.416
7,Minnesota Lynx*,34,6800,.478,11.9,,.762,.316,.138,.137,.170,.238,,.512,.643,.454,.421,.390,.370,,.589,.823,,.075,.390
8,New York Liberty*,34,6825,.425,12.7,,.754,.257,.191,.125,.181,.246,,.455,.594,.408,.412,.338,.332,,.500,.854,,.161,.387
9,Phoenix Mercury*,34,6875,.440,13.0,,.705,.294,.135,.108,.168,.295,,.483,.593,.421,.406,.388,.339,,.563,.796,,.149,.278
10,San Antonio Stars,34,6850,.429,11.5,,.782,.313,.183,.127,.159,.218,,.455,.590,.363,.410,.332,.333,,.573,.858,,.206,.370
11,Seattle Storm*,34,6875,.473,13.1,,.686,.280,.159,.096,.151,.314,,.523,.680,.435,.423,.388,.363,,.598,.895,,.181,.455
12,Washington Mystics*,34,6850,.416,13.7,,.685,.230,.167,.156,.131,.315,,.462,.593,.411,.398,.374,.317,,.514,.767,,.092,.269
,League Average,34,6859,.441,12.4,,.743,.291,.163,.119,.170,.257,,.476,.614,.395,.395,.375,.338,,.535,.851,,.142,.369
