,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,deFG%,dTOV%,DRB%,dFT/FGA,,Arena
1,Minnesota Lynx*,28.1,27,7,29,5,9.79,-0.98,8.81,109.9,97.4,+12.5,77.3,.283,.243,.559,,.521,16.5,34.8,.214,,.454,15.9,72.7,.204,,Target Center
2,Indiana Fever*,28.0,22,12,26,8,6.00,-0.65,5.36,104.4,96.4,+8.0,74.5,.294,.303,.530,,.478,15.6,29.4,.239,,.471,19.7,68.0,.200,,Bankers Life Fieldhouse
3,Los Angeles Sparks*,27.0,24,10,25,9,5.76,-0.82,4.94,105.6,98.3,+7.3,79.2,.297,.234,.546,,.500,17.4,33.5,.236,,.460,16.7,69.5,.197,,STAPLES Center
4,San Antonio Silver Stars*,27.6,21,13,24,10,5.12,-0.38,4.74,106.8,100.2,+6.6,76.2,.274,.293,.541,,.500,14.7,27.7,.213,,.484,17.5,70.3,.187,,AT&T Center
5,Connecticut Sun*,26.4,25,9,23,11,4.21,-0.86,3.35,103.3,98.0,+5.3,77.8,.283,.238,.525,,.473,15.7,29.2,.234,,.475,17.4,70.2,.172,,Mohegan Sun Arena
6,Atlanta Dream*,26.9,19,15,21,13,2.82,-0.24,2.59,98.0,94.5,+3.5,78.7,.304,.210,.509,,.465,17.6,29.6,.225,,.460,19.0,70.9,.209,,Philips Arena
7,Chicago Sky,27.1,14,20,17,17,-0.24,0.16,-0.08,97.4,97.7,-0.3,75.6,.268,.277,.515,,.478,19.6,32.8,.196,,.475,18.0,74.9,.245,,Allstate Arena
8,Seattle Storm*,30.0,16,18,16,18,-0.41,-0.03,-0.44,95.6,96.2,-0.6,74.2,.295,.338,.534,,.493,20.3,22.5,.221,,.438,15.5,70.4,.209,,KeyArena at Seattle Center
9,New York Liberty*,28.1,15,19,11,23,-4.15,0.22,-3.93,96.1,101.6,-5.5,76.0,.200,.252,.501,,.469,18.3,29.9,.151,,.475,16.2,68.4,.208,,Prudential Center
10,Tulsa Shock,25.6,9,25,8,26,-6.97,1.17,-5.80,98.0,106.9,-8.9,77.9,.294,.310,.505,,.464,16.2,26.5,.213,,.531,20.0,66.2,.241,,BOK Center
11,Washington Mystics,26.7,5,29,5,29,-9.71,0.93,-8.78,91.6,104.6,-13.0,74.6,.275,.223,.486,,.446,19.2,30.3,.198,,.500,17.9,68.9,.248,,Verizon Center
12,Phoenix Mercury,25.2,7,27,4,30,-12.24,1.49,-10.75,93.0,108.3,-15.3,79.5,.274,.273,.472,,.424,17.3,32.6,.209,,.490,14.2,70.0,.232,,US Airways Center
,League Average,27.2,,,17,17,0.00,0.00,0.00,100.0,100.0,,76.8,.278,.266,.519,,.476,17.3,29.9,.212,,.476,17.3,70.1,.212,,
