Name,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Brianna Turner,227,136,4924,2.9,5.0,.574,0.0,0.0,.000,2.9,5.0,.576,0.8,1.2,.637,2.5,6.6,9.1,2.0,1.1,1.7,1.7,3.1,6.5
Queen Egbo,78,31,1224,5.1,11.0,.464,0.0,0.0,,5.1,11.0,.464,2.4,3.7,.648,3.1,8.0,11.1,1.2,1.4,1.9,2.9,5.5,12.6
Brittney Sykes,294,226,8062,5.9,14.3,.411,1.1,3.7,.300,4.8,10.6,.450,3.8,4.9,.769,1.0,4.2,5.2,3.9,1.7,0.6,2.6,3.1,16.6
Shey Peddy,131,34,2412,3.9,9.6,.409,1.7,5.2,.329,2.2,4.4,.505,1.9,2.2,.897,1.4,3.2,4.6,4.4,1.9,0.2,1.8,2.6,11.5
Caitlin Clark,70,70,2343,6.6,16.0,.411,3.0,9.0,.332,3.6,7.0,.513,4.5,5.1,.877,0.3,5.2,5.5,9.1,1.3,0.7,5.7,3.2,20.6
Chelsea Gray,386,318,10988,5.7,12.3,.459,1.5,3.8,.384,4.2,8.5,.492,2.3,2.7,.868,0.5,3.6,4.1,6.5,1.5,0.4,3.0,2.1,15.1
Jordin Canada,247,169,6451,4.5,11.3,.396,0.7,2.7,.258,3.8,8.5,.440,3.3,4.2,.801,0.5,3.1,3.6,7.0,2.2,0.2,2.9,2.4,12.9
Jackie Young,260,238,7828,6.1,13.2,.465,1.6,4.2,.376,4.5,9.0,.506,3.1,3.6,.861,1.0,3.9,4.9,5.3,1.3,0.3,2.1,2.5,16.9
Marina Mabrey,247,169,6475,6.4,15.9,.405,2.7,7.8,.351,3.7,8.1,.457,2.2,2.7,.804,0.8,4.0,4.8,4.4,1.2,0.5,3.0,3.1,17.8
Janelle Salaun,54,33,1388,5.7,14.1,.404,2.8,7.5,.375,2.9,6.6,.439,2.3,2.9,.795,1.3,5.3,6.6,1.7,0.9,0.1,1.8,3.0,16.5
Angel Reese,81,81,2565,5.7,13.5,.420,0.1,0.8,.155,5.5,12.7,.437,4.7,6.4,.735,5.5,8.9,14.4,3.1,1.5,0.7,3.6,4.0,16.2
