,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,deFG%,dTOV%,DRB%,dFT/FGA,,Arena
1,Minnesota Lynx*,31.3,27,7,30,4,11.12,-0.89,10.22,109.3,95.1,+14.2,78.1,.272,.238,.563,,.523,15.7,30.3,.216,,.466,17.5,75.9,.180,,Xcel Energy Center
2,Los Angeles Sparks*,28.1,26,8,28,6,8.32,-0.74,7.59,107.1,96.4,+10.7,77.4,.273,.236,.564,,.520,15.2,22.2,.225,,.477,18.5,74.1,.212,,STAPLES Center
3,Connecticut Sun*,24.9,21,13,23,11,4.41,-0.28,4.14,106.0,100.6,+5.4,81.1,.278,.249,.531,,.493,13.4,27.3,.206,,.479,15.2,77.6,.222,,Mohegan Sun Arena
4,New York Liberty*,26.8,22,12,22,12,3.12,-0.14,2.98,102.9,98.9,+4.0,77.2,.285,.246,.512,,.466,14.4,30.7,.222,,.452,13.6,78.8,.238,,Madison Square Garden (IV)
5,Washington Mystics*,27.0,18,16,18,16,0.74,-0.29,0.45,105.8,104.8,+1.0,76.7,.313,.315,.526,,.466,13.5,29.0,.264,,.478,13.5,73.5,.208,,Verizon Center
6,Phoenix Mercury*,29.6,18,16,17,17,0.00,0.28,0.28,102.9,102.9,0.0,78.7,.354,.295,.545,,.490,15.8,22.9,.279,,.477,15.4,73.2,.249,,Talking Stick Resort Arena
7,Seattle Storm*,27.6,15,19,17,17,0.00,-0.17,-0.17,105.8,105.8,0.0,77.2,.292,.314,.574,,.530,16.5,20.8,.236,,.491,14.8,71.1,.207,,KeyArena at Seattle Center
8,Dallas Wings*,24.8,16,18,13,21,-2.65,0.42,-2.23,105.4,108.7,-3.3,80.5,.374,.295,.521,,.453,14.3,29.9,.308,,.521,16.0,72.7,.261,,College Park Center
9,Atlanta Dream,26.0,12,22,12,22,-3.76,0.18,-3.59,97.7,102.3,-4.6,79.6,.302,.218,.491,,.441,14.1,26.9,.230,,.479,15.9,74.4,.256,,McCamish Pavilion
10,Chicago Sky,27.9,12,22,10,24,-5.12,0.32,-4.80,100.0,106.2,-6.2,80.7,.203,.243,.539,,.507,17.2,22.7,.159,,.476,12.8,70.9,.226,,Allstate Arena
11,San Antonio Stars,25.8,8,26,8,26,-6.97,0.56,-6.41,96.2,105.2,-9.0,76.7,.265,.218,.508,,.465,18.3,27.7,.204,,.495,14.5,73.4,.237,,AT&T Center
12,Indiana Fever,27.3,9,25,6,28,-9.21,0.76,-8.45,97.6,109.5,-11.9,76.3,.254,.223,.513,,.463,15.6,21.4,.214,,.521,16.4,70.5,.269,,Bankers Life Fieldhouse
,League Average,27.3,,,17,17,0.00,0.00,0.00,103.1,103.1,,78.3,.289,.257,.532,,.484,15.3,26.1,.230,,.484,15.3,73.9,.230,,
