season,team,fg_pct,avg_dist,rim_rate,floater_rate,mid_rate,long_mid_rate,three_rate,rim_fg,floater_fg,mid_fg,long_mid_fg,three_fg,ast_2p,ast_3p,corner3_rate,corner3_pct
2012,Indiana Fever*,0.418,12.0,0.29,0.163,0.119,0.126,0.303,0.581,0.301,0.288,0.357,0.4,0.48,0.911,0.153,0.408
2012,Los Angeles Sparks*,0.458,11.3,0.288,0.198,0.155,0.125,0.234,0.67,0.36,0.376,0.41,0.359,0.525,0.773,0.126,0.368
2012,Minnesota Lynx*,0.473,11.5,0.271,0.189,0.178,0.119,0.243,0.663,0.382,0.415,0.419,0.4,0.585,0.863,0.055,0.355
2012,New York Liberty*,0.425,11.8,0.271,0.184,0.164,0.128,0.252,0.617,0.352,0.365,0.333,0.355,0.463,0.873,0.087,0.3
2012,Phoenix Mercury,0.384,12.1,0.229,0.231,0.147,0.119,0.273,0.645,0.329,0.289,0.312,0.295,0.433,0.777,0.04,0.423
2012,San Antonio Silver Stars*,0.445,12.3,0.254,0.177,0.173,0.103,0.293,0.644,0.383,0.369,0.386,0.375,0.554,0.85,0.067,0.378
2012,Seattle Storm*,0.434,13.0,0.208,0.208,0.137,0.109,0.338,0.644,0.415,0.376,0.399,0.351,0.57,0.912,0.081,0.309
2012,Tulsa Shock,0.405,12.0,0.224,0.243,0.116,0.107,0.31,0.625,0.318,0.302,0.325,0.38,0.455,0.812,0.085,0.344
2012,Washington Mystics,0.412,11.6,0.27,0.185,0.165,0.157,0.223,0.645,0.327,0.388,0.297,0.301,0.539,0.917,0.161,0.351
2017,Atlanta Dream,0.409,11.8,0.32,0.165,0.112,0.187,0.218,0.565,0.375,0.363,0.336,0.291,0.552,0.902,0.135,0.38
2017,Chicago Sky,0.461,12.7,0.291,0.144,0.111,0.21,0.243,0.625,0.394,0.408,0.41,0.375,0.6,0.871,0.15,0.356
2017,Connecticut Sun*,0.448,12.0,0.317,0.163,0.129,0.143,0.249,0.642,0.338,0.339,0.386,0.365,0.469,0.874,0.137,0.44
2017,Dallas Wings*,0.406,12.0,0.288,0.218,0.099,0.099,0.295,0.601,0.347,0.313,0.317,0.319,0.443,0.877,0.1,0.352
2017,Indiana Fever,0.429,13.2,0.259,0.113,0.139,0.265,0.223,0.586,0.378,0.417,0.405,0.309,0.485,0.779,0.198,0.313
2017,Los Angeles Sparks*,0.479,11.9,0.324,0.174,0.082,0.183,0.236,0.652,0.446,0.443,0.4,0.341,0.521,0.923,0.145,0.416
2017,Minnesota Lynx*,0.478,11.9,0.316,0.138,0.137,0.17,0.238,0.643,0.454,0.421,0.39,0.37,0.589,0.823,0.075,0.39
2017,New York Liberty*,0.425,12.7,0.257,0.191,0.125,0.181,0.246,0.594,0.408,0.412,0.338,0.332,0.5,0.854,0.161,0.387
2017,Phoenix Mercury*,0.44,13.0,0.294,0.135,0.108,0.168,0.295,0.593,0.421,0.406,0.388,0.339,0.563,0.796,0.149,0.278
2017,San Antonio Stars,0.429,11.5,0.313,0.183,0.127,0.159,0.218,0.59,0.363,0.41,0.332,0.333,0.573,0.858,0.206,0.37
2017,Seattle Storm*,0.473,13.1,0.28,0.159,0.096,0.151,0.314,0.68,0.435,0.423,0.388,0.363,0.598,0.895,0.181,0.455
2017,Washington Mystics*,0.416,13.7,0.23,0.167,0.156,0.131,0.315,0.593,0.411,0.398,0.374,0.317,0.514,0.767,0.092,0.269
2022,Atlanta Dream,0.42,13.5,0.22,0.194,0.136,0.137,0.313,0.612,0.392,0.353,0.376,0.351,0.526,0.849,0.182,0.357
2022,Chicago Sky*,0.481,12.3,0.295,0.192,0.12,0.085,0.309,0.681,0.513,0.427,0.293,0.345,0.694,0.915,0.186,0.443
2022,Connecticut Sun*,0.462,11.8,0.315,0.18,0.138,0.105,0.261,0.62,0.42,0.434,0.364,0.354,0.606,0.883,0.194,0.437
2022,Dallas Wings*,0.435,13.3,0.233,0.215,0.117,0.105,0.331,0.671,0.37,0.394,0.377,0.343,0.56,0.839,0.141,0.365
2022,Indiana Fever,0.409,12.9,0.254,0.207,0.112,0.138,0.29,0.569,0.393,0.379,0.308,0.338,0.553,0.898,0.178,0.31
2022,Los Angeles Sparks,0.446,13.0,0.259,0.222,0.125,0.142,0.253,0.697,0.427,0.387,0.293,0.32,0.56,0.964,0.163,0.303
2022,Las Vegas Aces*,0.46,15.0,0.18,0.219,0.13,0.096,0.376,0.653,0.49,0.424,0.467,0.361,0.563,0.834,0.198,0.388
